episode,agent_name,minimum_welfare,average_welfare,equity_score
0,veil_of_ignorance,530.5122447002235,9999.999999999998,0.025916693785793643
1,veil_of_ignorance,1080.0093309119543,10000.0,0.05013917786392075
2,veil_of_ignorance,2725.738635205982,10000.0,0.10323341768206473
3,veil_of_ignorance,839.3062542240741,9999.999999999996,0.03576857596321137
4,veil_of_ignorance,3255.9993357580906,9999.999999999998,0.1650010700294129
5,veil_of_ignorance,0.0,10000.0,0.0
6,veil_of_ignorance,2101.662955027517,10000.0,0.08878176574162089
7,veil_of_ignorance,729.0134965228361,9999.999999999998,0.04291070255706708
8,veil_of_ignorance,1397.6250301726743,10000.000000000002,0.06110964306144229
9,veil_of_ignorance,2720.4353222347922,9999.999999999998,0.09816915136831172
