episode,agent_name,minimum_welfare,average_welfare,equity_score
0,veil_of_ignorance,3712.5065553079617,10000.0,0.12933302164660476
1,veil_of_ignorance,2054.7887248825705,10000.000000000002,0.08349501081539323
2,veil_of_ignorance,5123.838813473342,10000.0,0.27522979270216463
3,veil_of_ignorance,4802.096187143779,10000.0,0.2421431869601144
4,veil_of_ignorance,311.6382457101299,9999.999999999998,0.011670389925007685
5,veil_of_ignorance,376.19900327065557,10000.000000000002,0.014130375425940311
6,veil_of_ignorance,380.60118172746326,10000.000000000002,0.014997628836666665
7,veil_of_ignorance,4345.394554337561,9999.999999999998,0.28630969933066264
8,veil_of_ignorance,3748.071412262695,9999.999999999998,0.16241777997949824
9,veil_of_ignorance,936.9388984484012,9999.999999999998,0.04096720456023539
