episode,scenario_type,agent_name,minimum_welfare,average_welfare,equity_score
0,static,veil_of_ignorance,3776.07796173044,10000.0,0.1770497310290381
1,static,veil_of_ignorance,841.1931704505847,10000.0,0.04432862461119791
2,static,veil_of_ignorance,2176.1138597149575,9999.999999999996,0.12252678326377797
3,static,veil_of_ignorance,1178.166531660032,10000.0,0.04335446024098999
4,static,veil_of_ignorance,4317.168605461511,10000.000000000002,0.2951174889877589
5,static,veil_of_ignorance,4397.7768732341865,10000.0,0.23090403105343216
6,static,veil_of_ignorance,780.8358273416025,10000.0,0.04660921496805648
7,static,veil_of_ignorance,1344.4131270854066,10000.0,0.07959044720136677
8,static,veil_of_ignorance,3092.9439646268756,10000.0,0.15294693122971392
9,static,veil_of_ignorance,2947.731057601832,10000.0,0.18538759598220123
10,static,veil_of_ignorance,3228.5704538325176,9999.999999999998,0.14772016427645285
